Tanggal,Keterangan
2024-01-01,Tahun Baru 2024 Masehi
2024-02-08,Isra' Mi'raj Nabi Muhammad SAW
2024-02-09,Cuti Bersama Imlek 2575 Kongzili
2024-02-10,Tahun Baru Imlek 2575 Kongzili
2024-03-11,Hari Raya Nyepi Tahun Baru Saka 1946
2024-03-12,Cuti Bersama Hari Raya Nyepi
2024-03-29,Wafat Isa Al Masih
2024-03-31,Hari Paskah
2024-04-08,Cuti Bersama Hari Raya Idul Fitri
2024-04-09,Cuti Bersama Hari Raya Idul Fitri
2024-04-10,Hari Raya Idul Fitri 1445 H
2024-04-11,Hari Raya Idul Fitri 1445 H
2024-04-12,Cuti Bersama Hari Raya Idul Fitri
2024-04-15,Cuti Bersama Hari Raya Idul Fitri
2024-05-01,Hari Buruh Internasional
2024-05-09,Kenaikan Isa Al Masih
2024-05-10,Cuti Bersama Kenaikan Isa Al Masih
2024-05-23,Hari Raya Waisak 2568 BE
2024-05-24,Cuti Bersama Hari Raya Waisak
2024-06-01,Hari Lahir Pancasila
2024-06-17,Hari Raya Idul Adha 1445 H
2024-06-18,Cuti Bersama Hari Raya Idul Adha
2024-07-07,Tahun Baru Islam 1446 H
2024-08-17,Hari Kemerdekaan Republik Indonesia ke 79
2024-09-16,Maulid Nabi Muhammad SAW
2024-12-25,Hari Raya Natal
2024-12-26,Cuti Bersama Hari Raya Natal
